id,Star_name,Distances,Mass,Parallax,Luminosity
0,Barnard's Star (BD+04°3561a),Oph*,0.144,546.9759±0.0401[8],13.22
1,WISE 0855−0714&,Hya*,0.003-0.010,439.0±2.4[19],28.2 J
2,Wolf 359 (CN Leonis),Leo*,0.090,415.1794±0.0684[8],16.55
3,"Lalande 21185 (BD+36°2147, Gliese 411, HD 95735)",UMa*,0.390,392.7529±0.0321[8],10.44
4,Ross 154 (V1216 Sagittarii),Sgr*,0.17,336.0266±0.0317[8],13.07
5,Ross 248 (HH Andromedae),And*,0.136,316.4812±0.0444[8],14.79
6,Ran (Epsilon Eridani)$,Eri*,0.820,311.37±0.11[22],6.19
7,Lacaille 9352 (Gliese 887),PsA*,0.486,304.1354±0.0200[8],9.75
8,Ross 128 (FI Virginis),Vir*,0.168,296.3053±0.0302[8],13.51
9,DX Cancri (G 51-15),Cnc*,0.09,279.2496±0.0637[8],16.98
10,Tau Ceti (BD−16°295)$,Cet,0.783,273.8097±0.1701[8],5.68
11,Gliese 1061 (LHS 1565),Hor*,0.113,272.1615±0.0316[8],15.26
12,YZ Ceti (LHS 138),Cet,0.130,269.0573±0.0337[8],14.17
13,Luyten's Star (BD+05°1668),CMi,0.26,264.1269±0.0413[8],11.97
14,Teegarden's Star (SO025300.5+165258),Ari*,0.08,260.9884±0.0934[8],17.22
15,Kapteyn's Star (CD−45°1841),Pic*,0.281,254.1986±0.0168[8],10.87
16,Lacaille 8760 (AX Microscopii),Mic*,0.60,251.9124±0.0352[8],8.69
17,DEN 1048-3956,Ant*,0.08,247.2156±0.0512[8],19.37
18,UGPS J0722-0540§,Mon,0.010-0.025,242.8±2.4[50],18.45 J
19,"Wolf 1061 (Gliese 628, BD−12°4523)",Oph,0.294,232.1390±0.0268[8],11.93
20,"Van Maanen's star (Gliese 35, LHS 7)‡",Psc*,0.67,231.7800±0.0183[8],14.21
21,Gliese 1 (CD−37°15492),Scl*,0.45-0.48,230.0970±0.0362[8],10.35
22,"TZ Arietis (Gliese 83.1, L 1159–16)",Ari,0.14,223.7321±0.0699[8],14.03
23,"Gliese 687 (LHS 450, BD+68°946)",Dra,0.401,219.7898±0.0210[8],10.89
24,Gliese 674 (LHS 449),Ara*,0.35,219.6463±0.0262[8],11.09
25,LHS 292 (LP 731-58),Sex*,0.08,219.3302±0.0602[8],17.32
26,"LP 145-141 (WD 1142-645, Gliese 440)‡",Mus*,0.75,215.6753±0.0181[8],13.18
27,WISE 1741+2553§,Her*,,214.3±2.8[57],18.18 J
28,Gliese 876 (Ross 780),Aqr,0.37,214.0380±0.0356[8],11.81
29,WISE 1639-6847§,TrA*,,211.11±0.56[59],22.10 J
30,LHS 288 (Luyten 143-23),Car,0.11[6],206.9698±0.0448[8],15.51
31,Gliese 1002,Cet,0.11,206.3500±0.0474[8],15.40
32,DEN 0255-4700§,Eri,0.025-0.065,205.4251±0.1857[8],24.44
33,Groombridge 1618 (Gliese 380)$,UMa,0.67,205.3148±0.0224[8],8.16
34,AD Leonis,Leo,0.39-0.42,201.4064±0.0296[8],10.87
35,Gliese 832,Gru*,0.45,201.3252±0.0237[8],10.20
36,Gliese 682 (CD-44 11909),Sco*,0.27,199.6944±0.0312[8],12.45
37,EV Lacertae,Lac*,0.35,197.9573±0.0220[8],11.70
38,Altair (Alpha Aquilae)$,Aql*,1.79,194.95±0.57[65],2.22
39,WISE J150649.97+702736.1§,UMi*,,193.5±0.6[57],15.17 J
40,DENIS J081730.0-615520§,Car,0.015,191.8362±0.4186[8],15.03 J
41,"Gliese 445 (LHS 2459, G 254-29)",Cam*,0.14,190.3251±0.0194[8],12.19
42,2MASS J15404342−5101357,Nor*,0.090,187.7290±0.0496[8],16.63
43,"Gliese 3323 (LHS 1723, LP 656-38)",Eri,0.1705,186.0466±0.0277[8],13.57
44,"Gliese 526 (Wolf 498, HD 119850)",Boo*,0.28,183.9962±0.0253[8],9.78
45,WISEP J111448.80-261828.2§,Hya,0.029–0.048,179.2±1.4[67],17.12 J
46,"Gliese 251 (Wolf 294, HD 265866)",Gem*,0.360,179.0629±0.0280[8],11.29
47,LP 816-60,Cap*,0.224,177.9312±0.0365[8],12.75
48,WISE 0350−5658§,Ret*,,176.4±2.3[68],23.70 J
49,WISEA J183537.82+325945.4,Lyr*,0.053,175.7930±0.0468[8],19.50
50,"Gliese 205 (Wolf 1453, HD 36395)",Ori,0.556,175.3131±0.0204[8],9.17
51,WISE J041521.21-093500.6§,Eri,0.03,175.2±1.7[67],16.56 J
52,Alsafi (Sigma Draconis)$,Dra,0.85,173.4939±0.0748[8],5.87
53,Ross 47 (Gliese 213),Ori,0.35,172.6762±0.0286[8],12.76
54,Gliese 693 (Luyten 205–128),Pav,0.26,169.8042±0.0465[8],11.91
55,Gliese 754 (Luyten 347–14),Tel*,0.173,169.2351±0.0588[8],13.37
56,"Gliese 908 (Lalande 46650, BR Piscium)",Psc,0.37,169.2163±0.0281[8],10.12
57,Gliese 588 (CD-40 9712),Lup*,0.43,168.9965±0.0270[8],10.45
58,"YZ Canis Minoris (Ross 882, Gliese 285)",CMi,0.308,166.9769±0.0343[8],12.30
59,WISE 1541−2250§,Lib,0.011,166.9±2.0[68],22.10 J
60,"82 G. Eridani (e Eridani, Gliese 139, HD 20794)$",Eri,0.70,165.5242±0.0784[8],5.35
61,Delta Pavonis$,Pav,1.051,163.9544±0.1222[8],4.62
62,SIMP0136§,Psc,0.012,163.4478±0.4629[8],14.32 J
63,2MASS 0937+2931§,Leo,0.040,163.39±1.76[70],15.71 J
